/* Names data file for localisation
 * The id's should be less than 20 chars 
 *
 * Text like this "*text*" is not final and should not be translated.
 */ 

/*
 * VEHICLES
 */

/* FINAL VEHICLES */
ZNULLDESIGN				_("New Design")
NX-L-PulseLas-VTOL			"*NX-L-PulseLas-VTOL*"
NX-L-Missile-A-T-VTOL			"*NX-L-ASMiss-VTOL*"
//NX-L-Rail1-Whl				"*NX-L-Rail1-Whl*"
NX-L-Sens-Hov				"*NX-L-Sens-Hov*"
NX-M-Missile-A-T-Hover			"*NX-M-ATMiss-Hov*"
NX-M-Com-Hover				"*NX-M-Com-Track*"
NX-M-Con-Hover				"*NX-M-Con-Hover*"
NX-L-Repair-Hover			"*NX-L-Repair-Hover*"
NX-M-Link-Hover				"*NX-M-Link-Hover*"
NX-M-Strike-Hover			"*NX-M-Strike-Hover*"
NX-H-CBS-Hover				"*NX-H-CBS-Hover*"
NX-M-VTOLCBS-Hover			"*NX-M-VTOLCBS-Hover*"
NX-M-PulseLas-Hover			"*NX-M-Laser2-Hover*"
NX-H-Rail3-Hover			"*NX-H-Rail3-Hover*"
NX-H-BeamLas-Hover			"*NX-H-BeamLas-Hover*"
NX-L-Missile-MdArt-Hover		"*NX-L-MdMiss-Hover*"
NX-H-HvMiss-Hover			"*NX-H-HvMiss-Hover*"
//NX-L-Missile-BB-VTOL			"*NX-L-BBMiss-VTOL*"
NX-L-Rail1-VTOL				"*NX-L-Rail1-VTOL*"
NX-H-Rail2-VTOL				"*NX-H-Rail2-VTOL*"
//NX-M-HvySAM-Htrack			"*NX-M-HvySAM-Htrack*"

// NEXUS only Cyborgs
NX-Cyb-HvMiss-JUMP			"*NX-Cyb-HvMiss-JUMP*"
NX-Cyb-PulseLas-JUMP	  		"*NX-Cyb-PulseLas-JUMP*"
NX-Cyb-Rail1-JUMP			"*NX-Cyb-JUMP*"
NX-Cyb-Miss-JUMP			"*NX-Cyb-Miss-JUMP*"
Cyb-NXCybRail1-GRD			"*Cyb-NXCybRail1-GRD*"
Cyb-NXCybATmiss-GRD			"*Cyb-NXCybATmiss-GRD*"
Cyb-NXPulseLas-GRD			"*Cyb-NXPulseLas-GRD*"
Cyb-NXCybRail1-JUMP			"*Cyb-NXCybRail1-JUMP*"
Cyb-NXCybATmiss-JUMP			"*Cyb-NXCybATmiss-JUMP*"
Cyb-NXPulseLas-JUMP			"*Cyb-NXPulseLas-JUMP*"

/* PLAYER 4 - FORCE EDITOR VEHICLES */
ViperLtCannonWheels			_("Light Cannon Viper Wheels")
ViperLtCannonHTracks		_("Light Cannon Viper Half-tracks")
ViperFlameWheels			_("Flamer Viper Wheels")
ViperSensorWheels			_("Sensor Turret Viper Wheels")
ViperLtCannonTracks			_("Light Cannon Viper Tracks")

CobraHMGHalfTrack			_("Heavy Machinegun Cobra Half-tracks")
CobraMortarHalfTrack			_("Mortar Cobra Half-tracks")
CobraLtCnTrks				_("Light Cannon Cobra Tracks")

/* PLAYER 5 - MULTIPLAYER VEHICLES */
ConstructorDroid			_("Truck")
CyborgRotMgGround			_("Assault Gunner")

/* PLAYER 6 - TEST VEHICLES */

// new player cyborgs - for Pete

Cyb-CybChnGun-JUMP			"*Cyb-CybChnGun-JUMP*"
ATESTVEHICLE				"*TEST VEHICLE*"
ATESTVTOL				"*TEST VTOL*"
ASPOTTER				"*SPOTTER*"
AVTOLSPOTTER				"*VTOL SPOTTER*"
Superbody				"Kev's Super Body"
Superbody2				"Alex's Super Body"
Superweapon				"Kev's Super Weapon"
Superweapon2				"Alex's Super Weapon"
SuperTank				"Kev's Super Tank"
SuperTank2				"Alex's Killa"

ViperMedCnTrks				_("Medium Cannon Viper Tracks")
ViperRepairWheels			_("Repair Turret Python Wheels")
ViperRepairHalftrack			_("Repair Turret Viper Half-track")
ViperMG01Wheels				_("Machinegun Viper Wheels")
ViperMG02Wheels				_("Twin Machinegun Viper Wheels")
ViperMG02Halftrack			_("Twin Machinegun Viper Half-tracks")
ViperHMGHalftrack			_("Heavy Machinegun Viper Half-tracks")
ViperHMGTracks				_("Heavy Machinegun Viper Tracks")
ViperLtA-Twheels			_("Lancer Viper Wheels")
ViperPODWheels				_("Mini-Rocket Pod Viper Wheels")
ViperMRLWheels				_("Mini-Rocket Array Viper Wheels")
ViperBBWheels				_("Bunker Buster Rockets Viper Wheels")

CobraMedCnTrks				_("Medium Cannon Cobra Tracks")
CobraHvyCnTrks				_("Heavy Cannon Cobra Tracks")
CobraSpadeTracks			_("Cobra Truck")
CobraSensorHalftrack			_("Sensor Turret Cobra Half-tracks")
CobraFlameTracks			_("Flamer Cobra Tracks")
CobraHvyMortarHalftrack			_("Bombard Cobra Half-tracks")
CobraComHalftrack			_("Command Turret Cobra Half-tracks")
CobraLtA-Thalftrack			_("Lancer Cobra Half-tracks")
CobraMRLHalftrack			_("Mini-Rocket Array Cobra Half-tracks")

PythonLtCnTrks				_("Light Cannon Python Tracks")
PythonMedCnTrks				_("Medium Cannon Python Tracks")
PythonHvyCnTrks				_("Heavy Cannon Python Tracks")
PythonComTracks				_("Command Turret Python Tracks")

/* PLAYER 7 - SCAVENGER VEHICLES */
BaBaPeople				_("Scavenger")
BabaJeep				_("Jeep")
BarbarianTrike				_("Trike")
BarbarianBuggy				_("Buggy")
BarbarianRKBuggy			_("Rocket Buggy")
BabaRKJeep				_("Rocket Jeep")
BabaFireTruck				_("Fire Truck")
BabaPickUp				_("Pick-Up Truck")
BabaFireCan				_("Cannon Fire Truck")
BabaBusCan				_("School Bus")
BaBaCivilian				_("Civilian")

/* FINAL CYBORGS */
CyborgChain01Ground			_("Machinegunner")
CyborgFlamer01Grd			_("Flamer")
CyborgRkt01Ground			_("Lancer")
CyborgCannon01Grd			_("Heavy Gunner")

// Cyborgs - shared 
Cyb-Chain-GROUND			_("Machinegunner")
Cyb-Flamer-GROUND			_("Cyborg Flamer")
Cyb-Cannon-GROUND			_("Heavy Gunner")
Cyb-Rocket-GROUND			_("Lancer")
Cyb-RotMG-GROUND			_("Assault Gunner")

/* TEST CYBORGS */	
CyborgCan01Air				"*TEST - Cyborg Cannon01 Air*"
CyborgCan01Ground			_("Cyborg Cannon")
CyborgRkt01Air				"*TEST - Cyborg Rocket01 Air*"

/*
 * COMPONENTS *
 */

/* BODIES */
Body1REC				_("Viper")
Body2SUP				_("Leopard")
Body3MBT				_("Retaliation")
Body4ABT				_("Bug")
Body5REC				_("Cobra")
Body6SUPP				_("Panther")
Body7ABT				_("Retribution")
Body8MBT				_("Scorpion")
Body9REC				_("Tiger")
Body10MBT				_("Vengeance")
Body11ABT				_("Python")
Body12SUP				_("Mantis")

TransporterBody				_("Transport Body")
ZNULLBODY				"*Z NULL BODY*"

B1BaBaPerson01				"*BaBa Body*"
B2JeepBody				"*Jeep Body*"
B3body-sml-buggy01			"*Buggy Body*"
B4body-sml-trike01			"*Trike Body*"
B3bodyRKbuggy01				"*Rocket Buggy Body*"
B2RKJeepBody				"*Rocket Jeep Body*"
BusBody					"*School Bus Body*"
FireBody				"*Fire Engine Body*"

/* Test Cyborg Body Parts */
//CyborgCan1Air				"*CyborgCannon1Air*"
//CyborgCan1Ground			"*CyborgCannon1Ground*"
CyborgChain1Ground			"*CyborgChaingun1Ground*"
//CyborgFlame1Ground			"*CyborgFlamer1Ground*"
//CyborgRkt1Air				"*CyborgRocket1Air*"
CyborgRkt1Ground			"*CyborgRocket1Ground*"
NX-Cyb-Rail1				"*NX-Cyb-Rail1*"
CyborgRotMG				"*CyborgRotMG*"
//NX-CybMissGrnd				"*NX-CybMissGrnd*"
NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-CybChain1Grnd			"*NX-CybChain1Grnd*"

// New Cyborg Bodies - Unique body for EACH template
CyborgCannonGrd				"*Cyborg Cannon*"
//				"*Cyborg Machinegun*"
CyborgFlamerGrd				"*Cyborg Flamer*"
//CyborgChn01Ground			"*Cyborg Machinegun*"
CybFlamer01CGrd				"*Cyborg Flamer*"
//CybRocketGrd				"*Cyborg Rocket*"	
CybRotMgGrd				"*Cyborg Assault Gun*"

//CyborgNXATMissGrd			"*CyborgNXATMissGrd*"
//CyborgNXATMissJmp			"*CyborgNXATMissJ*"
//			"*CybNXCybRail1Grd*"	
//CybNXCybRail1Jmp			"*CybNXCybRail1J*"
CybNXPulseLasJmp			"*CybNXPulseLasJ*"
//CybNXHvMissJmp				"*CybNXHvMissJ*"		
CybNXMissJmp				"*CybNXMissJmp*"
//CybNXPulseLasJmp			"*CybNXPulseLasJ*"
CybNXRail1Jmp				"*CybNXRail1Jmp*"
//CybNXPulseLaserGrd			"*CybNXPulseLaserJ*"
//NX-Cyb-HvMissile-JUMP			"*NX-Cyb-HvMissile-J*"
//NX-Cyb-Missile-JUMP			"*NX-CybMissGrnd*"
//NX-CybLasGrnd				"*NX-CybLasGrnd*"
//NX-Cyb-Rail1-JUMP			"*NX-Cyb-J*"

/* BRAIN */
ZNULLBRAIN				"Z NULL BRAIN"
StandardBrain				"*TEST - Standard Brain*"
ConstructionBrain			"*TEST - ConstructionBrain*"
CommandBrain01				_("Command Turret")

/* PROGRAM */
ZNULLPROGRAM				"Z NULL PROGRAM"
program1				"*TEST - program #1*"
Construct				"*TEST - Construct*"
RadarProgram				"*TEST - Radar Program*"
Demolish				_("Demolish")

/* CONSTRUCTION */	
ZNULLCONSTRUCT				"Z NULL CONSTRUCT"
Spade1Mk1				_("Truck")

/* PROPULSION */
ZNULLPROP				"Z NULL PROP"
wheeled01				_("Wheels")
wheeled02				_("Wheels II")
wheeled03				_("Wheels III")
tracked01				_("Tracks")
tracked02				_("Tracks II")
tracked03				_("Tracks III")
hover01					_("Hover")
hover02					_("Hover II")
hover03					_("Hover III")
V-Tol					_("VTOL")
V-Tol02					_("VTOL II")
V-Tol03					_("VTOL III")
HalfTrack				_("Half-tracks")
HalfTrack02				_("Half-tracks II")
HalfTrack03				_("Half-tracks III")
CyborgLegs02				_("Cyborg Propulsion II")
CyborgLegs03				_("Cyborg Propulsion III")
Naval					_("Naval")

/*BABARIAN PROPULSIONS*/
BaBaProp				"BaBaProp"
BaBaLegs				"BaBaLegs"
BaBaWheel				"BaBaWheel"
BaBaHTrack				"BaBaHTrack"
BaBaTrack				"BaBaTrack"
BaBaVtol				"BaBaVtol"

/*CYBORG PROPULSIONS*/
CyborgLegs				_("Cyborg Propulsion")
//CyborgJets				_("Cyborg Jump Pack")

/* VEHICLE AUTO-REPAIR */
ZNULLREPAIR				"Z NULL REPAIR"
LightRepair1				_("Repair Turret")

/* ECM */
ZNULLECM				"Z NULL ECM"
ECM1PylonMk1				_("Jammer Tower")
ECM1TurretMk1				_("Jammer Turret")
R-Sys-ECM-Upgrade01			_("Electronic Countermeasures")

/* SENSORS */
ZNULLSENSOR				"Z NULL SENSOR"
BaBaSensor				"*BaBa Default Sensor*"
CCSensor				"*CC Sensor*"
DefaultSensor1Mk1			"*Default Sensor*"
NavGunSensor				"*Nexus Sensor*"
TowerSensor			"*Tower Sensor*"
FortressSensor			"*Fortress Sensor*"
RadarDetector				_("Radar Detector Turret")
SensorTower1Mk1				_("Heavy Sensor Turret")
SensorTower2Mk1				_("Heavy Sensor Turret")
SensorTurret1Mk1				_("Sensor Turret")
Sys-CBTower01				_("Heavy CB Radar Turret")
Sys-VTOLCBTower01				_("Heavy VTOL CB Radar Turret")
Sys-VTOLRadarTower01			_("Heavy VTOL Strike Turret")
UplinkSensor				_("Uplink Sensor")
Sys-RadarDetector01			_("Radar Detector Tower")

Sys-CBTurret01				_("CB Radar Turret")
Sys-VstrikeTurret01			_("VTOL Strike Turret")
Sys-VTOLCBTurret01			_("VTOL CB Radar Turret")
Sys-NXLinkTurret01			_("Nexus Link")

SpyTurret01				_("Hijacker Turret")

/* PLAYER STRUCTURES */
A0ResourceExtractor			_("Oil Derrick")
A0CommandCentre				_("Command Center")
A0LightFactory				_("Factory")
A0FacMod1				_("Factory Module")
A0PowerGenerator			_("Power Generator")
A0PowMod1				_("Power Module")
A0ResearchFacility			_("Research Facility")
A0ResearchModule1			_("Research Module")
A0ADemolishStructure			_("Demolish Structure")
DemolishStructure			_("Demolish")
A0RepairCentre				_("Repair Facility")
A0ComDroidControl			_("Command Relay Center")
A0HardcreteMk1CWall			_("Hardcrete Corner Wall")
A0HardcreteMk1Wall			_("Hardcrete Wall")
A0HardcreteMk1Gate			_("Hardcrete Gate")

A0VTolFactory1				_("VTOL Factory")
A0CyborgFactory				_("Cyborg Factory")

/* DEFENSIVE STRUCTURES */
Tower-Projector				_("Inferno Bunker") //previously "Inferno Guard Tower"
WallTower-Projector			_("Plasma Cannon Hardpoint")
Emplacement-RotMor			_("Pepperpot Pit")
Emplacement-RotHow			_("Rotary Howitzer Emplacement")
//SuperEmplacement			"*Super Gun*"
//PlasmaEmplacement			"*Plasma Weapon*"

AASite-TwinBof				_("Tornado AA Site")
AASite-QuadBof				_("AA Flak Cannon Emplacement")
AASite-QuadMg1				_("Hurricane AA Site")
AASite-QuadRotMg				_("Whirlwind AA Site")

Emplacement-Rocket06-IDF		_("Ripple Rocket Battery")
//Tower-Missile1				_("Lancer Guard Tower")
//Tower-Missile2				_("Mini-Rocket Guard Tower")
Tower-VulcanCan				_("Medium HPV Cannon Tower")
Tower-RotMg				_("Assault Gun Tower")
Wall-RotMg				_("Assault Gun Hardpoint")
Wall-VulcanCan				_("Assault Cannon Hardpoint")

/*SENSOR TOWERS*/
Sys-SensoTower01			_("Sensor Tower")
Sys-SensoTower02			_("Hardened Sensor Tower")
//Sys-ECMTower01				_("Jammer Tower")
Sys-CB-Tower01				_("CB Radar Tower")
Sys-VTOL-CB-Tower01			_("VTOL CB Radar Tower")
Sys-VTOL-RadarTower01			_("VTOL Strike Tower")

/*WALLTOWERS*/
WallTower01				_("Heavy Machinegun Hardpoint")
WallTower02				_("Light Cannon Hardpoint")
WallTower03				_("Medium Cannon Hardpoint")
WallTower04				_("Heavy Cannon Hardpoint")
WallTower05				_("Flamer Hardpoint")
WallTower06				_("Lancer Hardpoint")

GuardTower1				_("Machinegun Guard Tower")
GuardTower2				_("Twin Machinegun Guard Tower")
GuardTower3				_("Heavy Machinegun Tower")
GuardTower4				_("Flamer Guard Tower")
GuardTower5				_("Lancer Tower")
GuardTower6				_("Minipod Tower")

/*PILLBOXES*/
PillBox1				_("Machinegun Bunker")
PillBox2				_("Twin Machinegun Bunker")
PillBox3				_("Heavy Machinegun Bunker")
PillBox4				_("Light Cannon Bunker")
PillBox5				_("Flamer Bunker")
PillBox6				_("Lancer Bunker")

/*TANKTRAPS*/
A0TankTrap				_("Tank Traps")
A0TankTrap2				_("Dragon's Teeth")
TankTrapC				_("Tank Traps")
TankTrap2C				_("Dragon's Teeth")

/*VTOL STRUCTURES*/
A0VtolPad				_("VTOL Rearming Pad")

/* EMPLACEMENTS */
Emplacement-Howitzer105			_("Howitzer Emplacement")
Emplacement-PrisLas			_("Hyperion Laser Emplacement")
//Emplacement-Super			"*Emplacement-SuperGun*"
WallTower-PulseLas			_("Pulse Laser Cannon Hardpoint")
WallTower-Rail2				_("Railgun Hardpoint")
GuardTower-BeamLas			_("Flashlight Laser Tower")
GuardTower-ATMiss			_("Scourge Missile Tower")
GuardTower-Rail1			_("Needlegun Tower")
Emplacement-Rail3			_("Gauss Cannon Emplacement")

/* PLAYER WEAPONS */
Cannon1Mk1				_("Light Cannon")
Cannon2A-TMk1				_("Medium Cannon")
Cannon375mmMk1				_("Heavy Cannon")
Cannon4AUTOMk1				_("Medium Hyper-Velocity Cannon")
Cannon5VulcanMk1			_("Assault Cannon")

Flame1Mk1				_("Light Flamer")
Flame2					_("Light Thermite Flamer")

Howitzer105Mk1				_("Howitzer")
Howitzer105Mk1-Pit			_("Howitzer Emplacement")
Howitzer150Mk1				_("Heavy Howitzer")
Howitzer150Mk1-Pit			_("Heavy Howitzer Emplacement")
Howitzer03-Rot				_("Rotary Howitzer")
Howitzer03-Rot-Pit			_("Rotary Howitzer Emplacement")
//Howitzer04-Inc				_("Hellfire")

//Laser1PRISMATICMk1			_("Flashlight")
Laser2PULSEMk1				_("Pulse Laser")


MG1Mk1				_("Machinegun")
MG1-Pillbox				_("Machinegun Bunker")
MG2Mk1				_("Twin Machinegun")
MG2-Pillbox				_("Twin Machinegun Bunker")
MG3Mk1				_("Heavy Machinegun")
MG3-Pillbox				_("Heavy Machinegun Bunker")
MG4ROTARYMk1			_("Assault Gun")

//Missile-BB				_("Devastator Missile")
Missile-A-T				_("Scourge Missile")
Missile-MdArt			_("Seraph Missile Array")
Missile-HvySAM			_("Sunstorm AA Missile")
Missile-HvyArt			_("Archangel Missile")

Missile-LtSAM			_("Solar Flare AA Missile")
//Missile-VTOL-BB			_("VTOL Devastator Missile")
Missile-VTOL-AT			_("VTOL Scourge Missile")

Mortar1Mk1				_("Mortar")
Mortar1Mk1-Pit			_("Mortar Pit")
Mortar2Mk1				_("Bombard")
Mortar2Mk1-Pit			_("Bombard Pit")
Mortar3ROTARYMk1			_("Pepperpot")
Mortar3ROTARYMk1-Pit		_("Pepperpot Pit")
RailGun1Mk1				_("Needlegun")
RailGun2Mk1				_("Railgun")
RailGun3Mk1				_("Gauss Cannon")
Rocket-LtA-T			_("Lancer")
Rocket-MRL				_("Mini-Rocket Array")
Rocket-BB				_("Bunker Buster")
//Rocket04-Scud			"*Earthshaker*"
Rocket-Pod				_("Mini-Rocket Pod")
Rocket-IDF				_("Ripple Rockets")
Rocket-HvyA-T			_("Tank Killer")
Rocket-VTOL-BB			_("VTOL Bunker Buster")
Rocket-VTOL-Pod			_("VTOL Mini-Rocket")
Rocket-VTOL-LtA-T			_("VTOL Lancer")
Rocket-VTOL-HvyA-T		_("VTOL Tank Killer")

CyborgCannon			_("Heavy Gunner")
CyborgCannon01			"*Cyborg Cannon*"
CyborgRocket			_("Lancer")
CyborgChaingun			_("Machinegunner")
CyborgFlamer01				_("Flamer")

TUTMG						_("Machinegun")

CommandTurret1				_("Command Turret")

AAGun1Mk1					_("Tornado Flak Turret")
AAGun2Mk1					_("AA Flak Cannon")
AAGun2Mk1-VTOL				_("VTOL Flak Cannon")

//Supergun					"*Supergun*"
PlasmaHeavy					"*Heavy Plasma Launcher*"

QuadRotAAGun				_("Whirlwind AA Gun")
QuadMg1AAGun				_("Hurricane AA Gun")
NavaroneGun					"*NavaroneGun*"

NX-CyborgMiss				"*NX-CyborgMiss*"
NX-CyborgChaingun				"*NX-CyborgChaingun*"
NX-CyborgPulseLas				"*NX-CyborgPulseLas*"

LasSat					_("Laser Satellite Command Post")

Cannon1-VTOL				_("VTOL Light Cannon")
Cannon4AUTO-VTOL				_("VTOL Medium HPV Cannon")
Cannon5Vulcan-VTOL			_("VTOL Assault Cannon")
Laser2PULSE-VTOL				_("VTOL Pulse Laser")

MG1-VTOL					_("VTOL Machinegun")
MG2-VTOL					_("VTOL Twin Machinegun")
MG3-VTOL					_("VTOL Heavy Machinegun")
MG4ROTARY-VTOL				_("VTOL Assault Gun")
RailGun1-VTOL				_("VTOL Needlegun")
RailGun2-VTOL				_("VTOL Railgun")

PBomb						_("Proximity Bomb Turret")
SPBomb					_("Proximity Superbomb Turret")

Bomb1-VTOL-LtHE				_("VTOL Cluster Bomb Bay")
Bomb2-VTOL-HvHE				_("VTOL Heap Bomb Bay")
Bomb3-VTOL-LtINC				_("VTOL Phosphor Bomb Bay")
Bomb4-VTOL-HvyINC				_("VTOL Thermite Bomb Bay")
											 
// Collective Specific Defensive Structures
CollectiveWall				_("Supercrete Wall")
CollectiveCWall				_("Supercrete Corner Wall")
CO-Tower-MG3				_("Incendiary MG Tower")
CO-Tower-RotMG				_("Hellspitter MG Tower")
CO-Tower-MdCan				_("Twin Assault Cannon Hardpoint")
CO-WallTower-HvCan			_("Ripper Hardpoint")
CO-WallTower-RotCan			_("Shredder Hardpoint")
CO-Tower-HVCan				_("Twin HPV Assault Cannon Hardpoint")
CO-Tower-HvFlame				_("EMP Cannon Tower")
CO-Tower-HvATRkt				_("Twin Assault Pod Hardpoint")
CO-Tower-LtATRkt				_("Twin Minipod Hardpoint")
CO-Emp-Mortar2-Pit			"*CO-Emp-Mortar2-Pit*"
CO-Emp-How105-Pit				"*CO-Emp-How105-Pit*"
//CO-Emp-How150-Pit				"*CO-Emp-How150-Pit*"
//CO-Emp-RotHow-Pit				"*CO-Emp-RotHow-Pit*"
CO-Emp-RotMortar-Pit			"*CO-Emp-RotMortar-Pit*"
// CO-AASite-Flak1				"*CO-AASite-Flak1*"
// CO-AASite-Flak2				"*CO-AASite-Flak2*"
// CO-AASite-QuadMg1				"*CO-AASite-QuadMg1*"
// CO-AASite-QuadRotMg			"*CO-AASite-QuadRotMg*"
CO-AASite-SAM1				"*CO-AASite-SAM1*"

// NEXUS Specific Defensive Structures
NEXUSWall					_("Plascrete Wall")
NEXUSCWall					_("Plascrete Corner Wall")
NX-Tower-Rail1				_("Scattershot Tower")
NX-Tower-ATMiss				_("Twin Erinyes Hardpoint")
NX-Tower-PulseLas				_("Pulse Laser Cannon Tower")
NX-WallTower-Rail2			_("Jet-Assisted Cannon Hardpoint")
NX-WallTower-BeamLas			_("Hyperion Laser Hardpoint")
NX-WallTower-Rail3			_("Eviscerator Hardpoint")
NX-Emp-MedArtMiss-Pit			_("Ifrit Missile Battery")
NX-Emp-MultiArtMiss-Pit			_("Harbinger TBM Site")
NX-Emp-Plasma-Pit				_("Heavy Plasmite Howitzer Emplacement")
NX-AASite-SAM1				"*NX-AASite-SAM1*"
NX-AASite-SAM2				"*NX-AASite-SAM2*"

/*
 * RESEARCH TOPICS
 */
ZNullResearch				"*Z Null Research*"

CAM1RESEARCH				_("CAM1 RESEARCH")
ADVANCEDRESEARCH				_("ADVANCED RESEARCH")
CAM1VEHICLES				_("CAM1 VEHICLES")
CAM1WEAPONS					_("CAM1 WEAPONS")
CAM1SYSTEMS					_("CAM1 SYSTEMS")
CAM1DEFENSES				_("CAM1 DEFENSES")
CAM1STRUCTURES				_("CAM1 STRUCTURES")
