Body key,Unused,Size,Build power,Build points,Weight,Body points,Body model,Unused,Weapon slots,Engine power,AFRK,AFRH,AREK,AREH,ALEK,ALEH,ARIK,ARIH,ATOK,ATOH,ABOK,ABOH,Flame model,Designable
Body3MBT,Level Three,LIGHT,16,80,166,71,DRLBOD03.PIE,100,1,1890,13,13,13,13,13,13,13,13,13,13,13,13,fxvtl2and3.pie,1
Body4ABT,Level All,LIGHT,9,46,166,45,DRLBOD04.PIE,100,1,3000,6,10,6,10,6,10,6,10,6,10,6,10,fxvtl04.pie,1
Body5REC,Level All,MEDIUM,23,115,500,100,DRMBOD05.PIE,100,1,6000,15,9,15,9,15,9,15,9,15,9,15,9,fxvtl5to8.pie,1
Body6SUPP,Level Two-Three,MEDIUM,30,152,500,126,DRMBOD06.PIE,100,1,4762,17,13,17,13,17,13,17,13,17,13,17,13,fxvtl5to8.pie,1
Body7ABT,Level Three,MEDIUM,37,185,333,143,DRMBOD07.PIE,100,1,3780,19,19,19,19,19,19,19,19,19,19,19,19,fxvtl5to8.pie,1
Body7ABTHERO,Level Three,MEDIUM,37,185,333,343,DRMBOD07.PIE,100,1,3780,19,19,19,19,19,19,19,19,19,19,19,19,fxvtl5to8.pie,1
Body8MBT,Level All,MEDIUM,21,106,333,90,DRMBOD08.PIE,100,1,6000,9,15,9,15,9,15,9,15,9,15,9,15,fxvtl5to8.pie,1
Body9REC,Level All,HEAVY,70,351,1000,252,DRHBOD09.PIE,100,1,9524,23,18,23,18,23,18,23,18,23,18,23,18,fxvtl09.pie,1
Body10MBT,Level Three,HEAVY,85,426,666,286,DRHBOD10.PIE,100,1,7560,25,25,25,25,25,25,25,25,25,25,25,25,fxvtl10.pie,1
Body11ABT,Level All,HEAVY,53,265,1000,200,DRHBOD11.PIE,100,1,12000,20,12,20,12,20,12,20,12,20,12,20,12,fxvtl11.pie,1
Body11HERO,Level All,HEAVY,153,365,1000,300,DRHBOD11.PIE,100,1,12000,30,16,20,12,20,12,20,12,20,12,20,12,fxvtl11.pie,1
Body12SUP,Level All,HEAVY,49,244,666,180,DRHBOD12.PIE,100,1,12000,12,20,12,20,12,20,12,20,12,20,12,20,fxvtl12.pie,1
Body13SUP,Level Three,HEAVY,122,612,1000,400,DRMBOD13.PIE,100,1,6000,32,32,32,32,32,32,32,32,32,32,32,32,fxvtl12.pie,1
Body14SUP,Level Three,HEAVY,282,1409,2000,800,DRHBOD14.PIE,100,2,12000,40,40,40,40,40,40,40,40,40,40,40,40,fxvtl12.pie,1
Body15LGT,Level Three,LIGHT,23,115,250,100,DRLBOD15.PIE,100,1,1500,16,16,16,16,16,16,16,16,16,16,16,16,fxvtl2and3.pie,1
Body16MED,Level Three,MEDIUM,53,265,500,200,DRMBOD16.PIE,100,1,3000,24,24,24,24,24,24,24,24,24,24,24,24,fxvtl5to8.pie,1
Body17LGT,Level Two-Three,LIGHT,12,61,166,57,DRLBOD17.PIE,100,1,2381,9,11,9,11,9,11,9,11,9,11,9,11,fxvtl04.pie,1
Body18MED,Level Two-Three,MEDIUM,28,140,333,113,DRMBOD18.PIE,100,1,4762,13,17,13,17,13,17,13,17,13,17,13,17,fxvtl5to8.pie,1
Body19HVY,Level Two-Three,HEAVY,64,322,666,227,DRHBOD19.PIE,100,1,9524,18,23,18,23,18,23,18,23,18,23,18,23,fxvtl12.pie,1
Body20LGT,Level Three,LIGHT,17,87,250,79,DRLBOD20.PIE,100,1,1890,13,13,13,13,13,13,13,13,13,13,13,13,fxvtl01.pie,1
Body21MED,Level Three,MEDIUM,40,201,500,159,DRMBOD21.PIE,100,1,3780,19,19,19,19,19,19,19,19,19,19,19,19,fxvtl5to8.pie,1
Body22HVY,Level Three,HEAVY,93,463,1000,317,DRHBOD22.PIE,100,1,7560,25,25,25,25,25,25,25,25,25,25,25,25,fxvtl11.pie,1
Body23SUP,Level Three,HEAVY,122,612,2000,400,DRSBOD23.PIE,100,2,24000,25,15,25,15,25,15,25,15,25,15,25,15,fxvtl12.pie,1
Body24SUP,Level Three,HEAVY,113,563,1333,360,DRSBOD24.PIE,100,2,24000,15,25,15,25,15,25,15,25,15,25,15,25,fxvtl12.pie,1
Body25SUP,Level Three,HEAVY,162,808,2000,504,DRSBOD25.PIE,100,2,19049,28,22,28,22,28,22,28,22,28,22,28,22,fxvtl12.pie,1
Body26SUP,Level Three,HEAVY,149,743,1333,454,DRSBOD26.PIE,100,2,19049,22,28,22,28,22,28,22,28,22,28,22,28,fxvtl12.pie,1
Body27SUP,Level Three,HEAVY,213,1067,2000,635,DRSBOD27.PIE,100,2,15119,32,32,32,32,32,32,32,32,32,32,32,32,fxvtl12.pie,1
Body28SUP,Level Three,HEAVY,196,981,1333,571,DRSBOD28.PIE,100,2,15119,32,32,32,32,32,32,32,32,32,32,32,32,fxvtl12.pie,1
CybRotMgGrd,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
CyborgRkt1Ground,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
CyborgFlamerGrd,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
CyborgChain1Ground,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
CyborgCannonGrd,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
CybNXRail1Jmp,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
CybNXPulseLasJmp,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
CybNXMissJmp,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
CybFlamer01CGrd,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Cyb-Hvybod-TK,Level Two,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
Cyb-Hvybod-RailGunner,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
Cyb-Hvybod-PulseLsr,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
Cyb-Hvybod-Mcannon,Level Two,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Cyb-Hvybod-HPV,Level Two,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
Cyb-Hvybod-Acannon,Level Two,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Cyb-Hvybod-A-T,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
Cyb-Bod-Thermite,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Rail1,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-Mechanic,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Cyb-Bod-Mechanic2,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Mechanic3,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-Mechanic4,Level All,LIGHT,10,50,999,50,cybd_std.pie,100,1,1080,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Cyb-Bod-Las1,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Grenade,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Cyb-Bod-ComEng,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Cyb-Bod-ComEng2,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-ComEng3,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-ComEng4,Level All,LIGHT,10,50,999,50,cybd_std.pie,100,1,1080,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Cyb-Bod-Atmiss,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-MortarInc,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Mortar-Gauss,Level All,LIGHT,10,50,999,50,cybd_std.pie,100,1,1080,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Cyb-Bod-Mortar-GaussInc,Level All,LIGHT,10,50,999,50,cybd_std.pie,100,1,1080,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Cyb-Bod-Cannon-HPVLgt,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Cannon-Sniper,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Laser-AP1,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Laser-AT1,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Laser-AP3,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-Laser-AT3,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-MG3Inc,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-MG4Inc,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-Railgun-Sniper,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-Rocket-HvyA-T,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Rocket-Sunburst,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-Rocket-Cherub,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Cyb-Bod-SpyTurret01,Level All,LIGHT,4,22,999,25,cybd_std.pie,100,1,1080,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Cyb-Bod-SpyTurret02,Level All,LIGHT,6,29,999,31,cybd_std.pie,100,1,1080,5,5,5,5,5,5,5,5,5,5,5,5,0,0
Cyb-Bod-SpyTurret03,Level All,LIGHT,8,38,999,40,cybd_std.pie,100,1,1080,6,6,6,6,6,6,6,6,6,6,6,6,0,0
HvyCyb-Bod-ComEng,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-ComEng2,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-ComEng3,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-ComEng4,Level Three,LIGHT,23,115,999,100,scbd_std.pie,100,1,1000,16,16,16,16,16,16,16,16,16,16,16,16,0,0
HvyCyb-Bod-Mechanic,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-Mechanic2,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Mechanic3,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Mechanic4,Level Three,LIGHT,23,115,999,100,scbd_std.pie,100,1,1000,16,16,16,16,16,16,16,16,16,16,16,16,0,0
HvyCyb-Bod-MortarRot,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-Mortar-Ramjet,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Mortar-GaussRamjet,Level Three,LIGHT,23,115,999,100,scbd_std.pie,100,1,1000,16,16,16,16,16,16,16,16,16,16,16,16,0,0
HvyCyb-Bod-Cannon-HPVAslt,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Cannon-Shotgun,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-EMP,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Flamer1,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-Flamer2,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Flamer3,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Laser-AP1,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Laser-AT1,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Laser-AP3,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Laser-AT3,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-MG3,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-MG4,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-MG-AntiTank,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-MG-AntiTank2,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-MG-AntiTankGss,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-MG3Inc,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-MG4Inc,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Railgun-Gattling,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Railgun-GattlingInc,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Railgun-Shotgun,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Railgun-Aslt,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Rocket-Pod,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-Rocket-Pod2,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Rocket-Pod3,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Rocket-LtA-T,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-Rocket-MRL,Level Three,LIGHT,10,50,999,50,scbd_std.pie,100,1,1000,8,8,8,8,8,8,8,8,8,8,8,8,0,0
HvyCyb-Bod-Rocket-TopAttack,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Rocket-TopAtkInc,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Rocket-TopAtkPlas,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Missile-MdArt,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Rocket-Sunburst,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Rocket-Cherub,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-Missile-LtSAM,Level Three,LIGHT,13,66,999,63,scbd_std.pie,100,1,1000,10,10,10,10,10,10,10,10,10,10,10,10,0,0
HvyCyb-Bod-Missile-HvySAM,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
HvyCyb-Bod-SpyTurretNEXUS,Level Three,LIGHT,17,87,999,79,scbd_std.pie,100,1,1000,13,13,13,13,13,13,13,13,13,13,13,13,0,0
P0Cam4TransportBody,Level All,MEDIUM,325,637,250,200,drtrans.pie,100,1,2000,20,9,20,9,20,9,20,9,20,9,20,9,0,0
