Feature key,Width,Breadth,Damageable,Armour,Body points,Graphics file,Type,Tiledraw,Allow LOS,Start visible
Tree3,1,1,1,10,50,mitrees3.pie,TREE,1,0,1
TreeSnow1,2,2,1,10,50,mistree1.pie,TREE,1,0,1
TreeSnow2,2,2,1,10,50,mistree2.pie,TREE,1,0,1
TreeSnow3,1,1,1,10,50,mistree3.pie,TREE,1,0,1
LogCabin1,1,1,1,1,50,MICABIN1.PIE,BUILDING,1,0,1
LogCabin2,1,1,1,1,50,MICABIN2.PIE,BUILDING,1,0,1
LogCabin3,1,1,1,1,50,MICABIN3.PIE,BUILDING,1,0,1
LogCabin4,1,1,1,1,50,MICABIN4.PIE,BUILDING,1,0,1
LogCabin5,1,1,1,1,50,MICABIN5.PIE,BUILDING,1,0,1
OldFactory,2,2,1,10,75,mifactry.pie,BUILDING,1,0,1
AirTrafficControl,1,1,1,5,200,miairtrf.pie,BUILDING,1,0,1
arizonabush1,1,1,1,10,50,arizonabush1.pie,TREE,1,0,1
arizonabush2,1,1,1,10,50,arizonabush2.pie,TREE,1,0,1
arizonabush3,1,1,1,10,50,arizonabush3.pie,TREE,1,0,1
arizonabush4,1,1,1,10,50,arizonabush4.pie,TREE,1,0,1
arizonatree1,1,1,1,10,50,arizonatree1.pie,TREE,1,0,1
arizonatree2,1,1,1,10,50,arizonatree2.pie,TREE,1,0,1
arizonatree3,1,1,1,10,50,arizonatree3.pie,TREE,1,0,1
arizonatree4,1,1,1,10,50,arizonatree4.pie,TREE,1,0,1
arizonatree5,1,1,1,10,50,arizonatree5.pie,TREE,1,0,1
arizonatree6,1,1,1,10,50,arizonatree6.pie,TREE,1,0,1
trapstraight,1,1,0,0,0,mitrapstr.pie,BOULDER,1,0,1
trapcorner,1,1,0,0,0,MITRAPCR.pie,BOULDER,1,0,1
hoverwreck,1,1,1,0,10,miarthov.pie,VEHICLE,1,1,1
barrier,1,1,1,1,5,MIBAR.pie,VEHICLE,1,1,1
bridgeend,1,1,1,5,50,MiBridg1.PIE,BUILDING,1,0,1
bridgemiddle,1,1,1,5,50,MiBridge.PIE,BUILDING,1,0,1
bridgefull,1,5,1,5,50,MiBridgx.PIE,BUILDING,1,0,1
bigcooltowr,2,2,1,5,75,micoolbig.pie,BUILDING,1,0,1
nukepowstat,2,2,1,10,50,minuke.pie,BUILDING,1,0,1
Pipe1A,1,1,1,5,50,Mipipe1A.pie,VEHICLE,1,0,1
Pipe2A,1,1,1,5,50,Mipipe2A.pie,VEHICLE,1,0,1
Pipe3A,1,1,1,5,50,Mipipe3A.pie,VEHICLE,1,0,1
Ruin6,1,1,1,1,100,miruin6.pie,BUILDING,1,0,1
Ruin7,1,1,1,1,100,miruin7.pie,BUILDING,1,0,1
Ruin8,1,1,1,1,100,miruin8.pie,BUILDING,1,0,1
Ruin9,1,1,1,1,100,miruin9.pie,BUILDING,1,0,1
Ruin10,1,1,1,1,100,Miruin10.pie,BUILDING,1,0,1
Wreck0,1,1,0,0,0,miwreck.pie,BOULDER,1,0,1
Wreck1,1,1,0,0,0,miwrek1.pie,BOULDER,1,0,1
Wreck2,1,1,0,0,0,miwrek2.pie,BOULDER,1,0,1
Wreck3,1,1,0,0,0,miwrek3.pie,BOULDER,1,0,1
Wreck4,1,1,0,0,0,miwrek4.pie,BOULDER,1,0,1
Wreck5,1,1,0,0,0,miwrek5.pie,BOULDER,1,0,1
BaBaHorizontalWall,1,1,1,7,75,BLBRBWLH.PIE,BUILDING,1,0,1
BabaCornerWall,1,1,1,5,75,BLBRBCR1.PIE,BUILDING,1,0,1
Powlab,2,2,1,10,175,powlab.pie,BUILDING,1,0,1
Indirectlab,2,2,1,10,175,indlab.pie,BUILDING,1,0,1
Nanolab,2,2,1,10,175,nanolab.pie,BUILDING,1,0,1
Aerodynamicslab,2,2,1,10,175,aerolab.pie,BUILDING,1,0,1
Advmaterialslab,2,2,1,10,175,advmatlab.pie,BUILDING,1,0,1
Heavywepslab,2,2,1,10,175,hvyweplab.pie,BUILDING,1,0,1
Rotarywepslab,2,2,1,10,175,rotweplab.pie,BUILDING,1,0,1
Laseropticslab,2,2,1,10,175,lasoptlab.pie,BUILDING,1,0,1
Wall,1,1,1,7,150,blwall4.pie,BUILDING,1,0,1
WallCorner,1,1,1,7,150,blwallc4.pie,BUILDING,1,0,1
WallSmashed,1,1,1,7,120,blwall4smash.pie,BUILDING,1,0,1
WallCornerSmashed,1,1,1,7,120,blwallc4smash.pie,BUILDING,1,0,1
ObstructiveRocks,2,2,1,8,2400,mibouldbig.pie,BOULDER,1,0,1
PalmTree1,1,1,1,10,50,mipalmtree1.pie,TREE,1,0,1
PalmTree2,1,1,1,10,50,mipalmtree2.pie,TREE,1,0,1
PalmTree3,1,1,1,10,50,mipalmtree3.pie,TREE,1,0,1
Crystal1,1,1,1,10,50,micrystal1.pie,BOULDER,1,0,1
Crystal2,1,1,1,10,50,micrystal2.pie,BOULDER,1,0,1
Crystal3,1,1,1,10,50,micrystal3.pie,BOULDER,1,0,1
NXSatController,2,2,1,10,175,milasbas.pie,BUILDING,1,0,0
