Research ID,Structure ID,unused
R-Defense-Empl3-Rocket-SAM2,Empl2-Rocket-SAM,0,0
R-Defense-Empl3-Rocket-SAM2Hvy,Empl2-Rocket-SAMHvy,0,0
R-Defense-Empl3-Rocket-Seraph,Empl2-Rocket-TopAttack,0,0
R-Defense-Empl3-Rocket-SeraphHvy,Empl2-Rocket-TopAttackHvy,0,0
R-Defense-Empl3-Rocket-Archangel,Emplacement-Rocket06-IDF,0,0
R-Defense-Empl3-Rocket-Cherub,P0-AASite-Sunburst,0,0
R-Defense-Empl2-Rocket-TopAttack,Emplacement-MRL-pit,0,0
R-Defense-Empl2-Rocket-TopAttackHvy,Empl-Rocket-MRLHvy,0,0
R-Defense-Empl3-Rocket-TopAtkPlas,Empl2-Rocket-TopAtkInc,0,0
R-Defense-Empl3-Rocket-TopAtkPlasHvy,Empl2-Rocket-TopAtkIncHvy,0,0
R-Defense-Tower2-Cannon-HPVLgt,Tower-Cannon-Lgt,0,0
R-Defense-Tower2-Cannon-HPVMed,Tower-Cannon-Med,0,0
R-Defense-Tower2-Cannon-HPVAslt,Tower-Cannon-Aslt,0,0
R-Defense-Tower3-Laser-AP3,Tower2-Laser-AP1,0,0
R-Defense-Tower3-Laser-AT3,Tower2-Laser-AT1,0,0
R-Defense-Tower2-MG4,GuardTower2,0,0
R-Defense-Tower2-MG4,GuardTower3,0,0
R-Defense-Tower2-MG-AntiTank2,Tower-MG-AntiTank,0,0
R-Defense-Tower3-MG4Inc,Tower-MG3Inc,0,0
R-Defense-Tower3-Railgun-Gattling,GuardTower-RotMg,0,0
R-Defense-Tower3-Railgun-GattlingInc,Tower3-MG4Inc,0,0
R-Defense-Tower3-MG-AntiTankGss,Tower2-MG-AntiTank2,0,0
R-Defense-Tower3-Railgun-Lgt,Tower2-Cannon-HPVLgt,0,0
R-Defense-Tower3-Railgun-Med,Tower-VulcanCan,0,0
R-Defense-Tower3-Railgun-Aslt,Tower2-Cannon-HPVAslt,0,0
R-Defense-Tower3-Railgun-Shotgun,Tower2-Cannon-Shotgun,0,0
R-Defense-Tower2-Rocket-AT2,GuardTower5,0,0
R-Defense-Tower3-Rocket-AT3,Tower2-Rocket-AT2,0,0
R-Defense-Tower2-Rocket-Pod2,GuardTower6,0,0
R-Defense-Tower3-Rocket-Pod3,Tower2-Rocket-Pod2,0,0
R-Defense-WallTower2-Cannon-HPVMed,WallTower03,0,0
R-Defense-WallTower2-Cannon-HPVLgt,WallTower02,0,0
R-Defense-WallTower2-Cannon-HPVAslt,Wall-VulcanCan,0,0
R-Defense-WallTower2-Cannon-HPVHvy,WallTower04,0,0
R-Defense-WallTower2-Cannon-HPVTwinAslt,WallTower-Cannon-TwinAslt,0,0
R-Defense-WallTower3-Cannon-HPVGattling,WallTower2-Cannon-Gattling,0,0
R-Defense-WallTower3-Cannon-Plas,WallTower2-Cannon-Inc,0,0
R-Defense-WallTower3-Laser-AP3,WallTower2-Laser-AP1,0,0
R-Defense-WallTower3-Laser-AT3,WallTower2-Laser-AT1,0,0
R-Defense-WallTower3-Laser-AP4,WallTower2-Laser-AP2,0,0
R-Defense-WallTower3-Laser-AT4,WallTower2-Laser-AT2,0,0
R-Defense-WallTower3-Laser-AA2,WallTower-Laser-AA,0,0
R-Defense-WallTower2-MG4,WallTower01,0,0
R-Defense-WallTower2-MG5,WallTower-MG3Twin,0,0
R-Defense-WallTower2-MG-AntiTank2,WallTower-MG-AntiTank,0,0
R-Defense-WallTower2-MG-AntiTank2Twin,WallTower-MG-AntiTankTwin,0,0
R-Defense-WallTower2-MG-AA2Lgt,WallTower-MG-AALgt,0,0
R-Defense-WallTower2-MG-AA2,WallTower-MG-AA,0,0
R-Defense-WallTower3-MG4Inc,WallTower-MG3Inc,0,0
R-Defense-WallTower3-MG4IncTwin,WallTower-MG3IncTwin,0,0
R-Defense-WallTower3-Railgun-Gattling,Wall-RotMg,0,0
R-Defense-WallTower3-Railgun-GattlingInc,WallTower3-MG4Inc,0,0
R-Defense-WallTower3-Railgun-GattlingTwin,WallTower-TwinAssaultGun,0,0
R-Defense-WallTower3-Railgun-GattlingIncTwin,WallTower3-MG4IncTwin,0,0
R-Defense-WallTower3-Railgun-GattlingAALgt,WallTower2-MG-AA2Lgt,0,0
R-Defense-WallTower3-Railgun-GattlingAA,WallTower2-MG-AA2,0,0
R-Defense-WallTower3-MG-AntiTankGss,WallTower2-MG-AntiTank2,0,0
R-Defense-WallTower3-MG-AntiTankGssTwin,WallTower2-MG-AntiTank2Twin,0,0
R-Defense-WallTower4-Railgun-Gattling,WallTower3-Railgun-Gattling,0,0
R-Defense-WallTower4-Railgun-GattlingInc,WallTower3-Railgun-GattlingInc,0,0
R-Defense-WallTower4-Railgun-GattlingAA,WallTower3-Railgun-GattlingAA,0,0
R-Defense-WallTower2-Railgun-Proto,WallTower-Railgun-Proto,0,0
R-Defense-WallTower3-Railgun-Lgt,WallTower2-Cannon-HPVLgt,0,0
R-Defense-WallTower3-Railgun-Med,WallTower-HPVcannon,0,0
R-Defense-WallTower3-Railgun-Hvy,WallTower2-Cannon-HPVHvy,0,0
R-Defense-WallTower3-Railgun-Aslt,WallTower2-Cannon-HPVAslt,0,0
R-Defense-WallTower3-Railgun-TwinAslt,WallTower2-Cannon-HPVTwinAslt,0,0
R-Defense-WallTower3-Railgun-Shotgun,WallTower2-Cannon-Shotgun,0,0
R-Defense-WallTower3-Railgun-Flak,WallTower-DoubleAAGun,0,0
R-Defense-WallTower4-Railgun-GattlingAT,WallTower3-Cannon-HPVGattling,0,0
R-Defense-WallTower2-Rocket-AT2,WallTower06,0,0
R-Defense-WallTower3-Rocket-AT3,WallTower-HvATrocket,0,0
R-Defense-WallTower2-Rocket-AT2Hvy,WallTower-Rocket-ATHvy,0,0
R-Defense-WallTower3-Rocket-AT3Hvy,WallTower2-Rocket-AT2Hvy,0,0
R-Defense-WallTower2-Rocket-Pod2,WallTower-Rocket-Pod,0,0
R-Defense-WallTower3-Rocket-Pod3,WallTower2-Rocket-Pod2,0,0
R-Defense-WallTower2-Rocket-Pod2Twin,WallTower-Rocket-PodTwin,0,0
R-Defense-WallTower3-Rocket-Pod3Twin,WallTower2-Rocket-Pod2Twin,0,0
R-Defense-WallTower2-Rocket-Pod2Quad,WallTower-Rocket-PodQuad,0,0
R-Defense-WallTower3-Rocket-Pod3Quad,WallTower2-Rocket-Pod2Quad,0,0
R-Defense-WallTower3-Rocket-Cherub,WallTower-Rocket-Sunburst,0,0
R-Defense-WallTower3-Rocket-SAM2,WallTower2-Rocket-SAM,0,0
R-Defense-WallTower3-Rocket-SAM2Hvy,WallTower2-Rocket-SAMHvy,0,0
R-Defense-MassDriver,X-Super-Cannon,0,335
R-Defense-Super-Missile,X-Super-Rocket,0,338
R-Defense-Super-RailgunGattling,Super-MG-Fort,0,328
R-Defense-Super-RailgunGattlingPlas,Super-MGPlas-Fort,0,328
R-Defense-Super-RailgunGattling2,Super-RailgunGattling-Fort,0,328
R-Defense-Super-RailgunGattlingPlas2,Super-RailgunGattlingPlas-Fort,0,328
R-Defense-Super-MortarGauss,Super-Mortar-Empl,0,328
R-Defense-Super-MortarGaussPlas,Super-MortarPlas-Empl,0,328
R-Defense-Super-MortarGaussRamjet,Super-MortarRamjet-Empl,0,328
R-Defense-Super-HowitzerGauss,Super-Howitzer-Empl,0,328
R-Defense-Super-HowitzerGaussPlas,Super-HowitzerPlas-Empl,0,328
R-Defense-Super-HowitzerGaussRamjet,Super-HowitzerRamjet-Empl,0,328
R-Defense-Super-RotRailgun,Super-RotCannon-Fort,0,328
R-Defense-Super-Laser2,Super-Laser-Fort,0,328
R-Struc-RepairFacility2,A0RepairCentre,0,287
R-Struc-RepairFacility3,A0RepairCentre2,0,287
R-Struc-RepairFacility4,A0RepairCentre3,0,287
