Research ID,Component ID,unused
R-Wpn-Cannon-HPVTankDestLgt,Cannon-TankDestLgt,WEAPON,10
R-Wpn-Cannon-HPVTwinAslt,Cannon6TwinAslt,WEAPON,10
R-Wpn-Cannon-HPVGattling,Cannon-Gattling,WEAPON,10
R-Wpn-Cannon-Plas,Cannon-Inc,WEAPON,10
R-Wpn-Cannon-PlasTankDest,Cannon-IncTankDest,WEAPON,10
R-Wpn-Flame2,Flame1Mk1,WEAPON,10
R-Wpn-Flame2,CyborgFlamerGrd,BODY,2
R-Wpn-Flame2,HvyCyb-Bod-Flamer1,BODY,2
R-Wpn-Flame2Med,Flame1Med,WEAPON,10
R-Wpn-Flame2Hvy,Flame1Hvy,WEAPON,10
R-Wpn-Plasmite-Flamer,Flame2,WEAPON,10
R-Wpn-Plasmite-Flamer,HvyCyb-Bod-Flamer2,BODY,2
R-Wpn-Plasmite-FlamerMed,Flame2Med,WEAPON,10
R-Wpn-Plasmite-FlamerHvy,Flame2Hvy,WEAPON,10
R-Wpn-Laser02,Laser3BEAM-VTOL,WEAPON,10
R-Wpn-Laser02,Laser3BEAMMk1,WEAPON,10
R-Wpn-Laser-AP3,Laser-AP1,WEAPON,10
R-Wpn-Laser-AP3,Laser-AP1-VTOL,WEAPON,10
R-Wpn-Laser-AP3,Cyb-Bod-Laser-AP1,BODY,10
R-Wpn-Laser-AP3,HvyCyb-Bod-Laser-AP1,BODY,10
R-Wpn-Laser-AT3,Laser-AT1,WEAPON,10
R-Wpn-Laser-AT3,Laser-AT1-VTOL,WEAPON,10
R-Wpn-Laser-AT3,Cyb-Bod-Laser-AT1,BODY,10
R-Wpn-Laser-AT3,HvyCyb-Bod-Laser-AT1,BODY,10
R-Wpn-Laser-AP4,Laser-AP2,WEAPON,10
R-Wpn-Laser-AT4,Laser-AT2,WEAPON,10
R-Wpn-Laser-TankDest2,Laser-TankDest,WEAPON,10
R-Wpn-Laser-AA2,Laser-AA,WEAPON,10
R-Wpn-MG3Twin,MG2Mk1,WEAPON,10
R-Wpn-MG4,MG2-VTOL,WEAPON,10
R-Wpn-MG4,MG3-VTOL,WEAPON,10
R-Wpn-MG4,MG3Mk1,WEAPON,10
R-Wpn-MG4,HvyCyb-Bod-MG3,BODY,10
R-Wpn-MG5,MG3Twin,WEAPON,10
R-Wpn-MG4Inc,MG3Inc,WEAPON,10
R-Wpn-MG4Inc,MG3Inc-VTOL,WEAPON,10
R-Wpn-MG4Inc,Cyb-Bod-MG3Inc,BODY,10
R-Wpn-MG4Inc,HvyCyb-Bod-MG3Inc,BODY,10
R-Wpn-MG4IncTwin,MG3IncTwin,WEAPON,10
R-Wpn-MG-AntiTank2,MG-AntiTank,WEAPON,10
R-Wpn-MG-AntiTank2,MG-AntiTank-VTOL,WEAPON,10
R-Wpn-MG-AntiTank2,HvyCyb-Bod-MG-AntiTank,BODY,10
R-Wpn-MG-AntiTank2Twin,MG-AntiTankTwin,WEAPON,10
R-Wpn-MG-AA2Lgt,MG-AALgt,WEAPON,10
R-Wpn-MG-AA2,MG-AA,WEAPON,10
R-Wpn-Railgun-Gattling,MG4ROTARY-VTOL,WEAPON,10
R-Wpn-Railgun-Gattling,MG4ROTARYMk1,WEAPON,10
R-Wpn-Railgun-Gattling,HvyCyb-Bod-MG4,BODY,10
R-Wpn-Railgun-GattlingTwin,MG5TWINROTARY,WEAPON,10
R-Wpn-Railgun-GattlingInc,MG4Inc-VTOL,WEAPON,10
R-Wpn-Railgun-GattlingInc,MG4Inc,WEAPON,10
R-Wpn-Railgun-GattlingInc,HvyCyb-Bod-MG4Inc,BODY,10
R-Wpn-Railgun-GattlingIncTwin,MG4IncTwin,WEAPON,10
R-Wpn-Railgun-GattlingAALgt,MG-AA2Lgt,WEAPON,10
R-Wpn-Railgun-GattlingAA,MG-AA2,WEAPON,10
R-Wpn-MG-AntiTankGss,MG-AntiTank2,WEAPON,10
R-Wpn-MG-AntiTankGss,MG-AntiTank2-VTOL,WEAPON,10
R-Wpn-MG-AntiTankGss,HvyCyb-Bod-MG-AntiTank2,BODY,10
R-Wpn-MG-AntiTankGssTwin,MG-AntiTank2Twin,WEAPON,10
R-Wpn-RailGun01,Cannon-HPVLgt,WEAPON,10
R-Wpn-RailGun01,Cannon-HPVLgt-VTOL,WEAPON,10
R-Wpn-RailGun01,Cyb-Bod-Cannon-HPVLgt,BODY,2
R-Wpn-RailGun02,Cannon4AUTOMk1,WEAPON,10
R-Wpn-RailGun02,Cannon4AUTO-VTOL,WEAPON,10
R-Wpn-RailGun02,Cyb-Hvybod-HPV,BODY,2
R-Wpn-RailGun03,Cannon-HPVHvy,WEAPON,10
R-Wpn-Railgun-TankDest,Cannon-HPVTankDest,WEAPON,10
R-Wpn-Railgun-TankDestLgt,Cannon-HPVTankDestLgt,WEAPON,10
R-Wpn-Railgun-GattlingAT,Cannon-HPVGattling,WEAPON,10
R-Wpn-Railgun-Flak,AAGun2Mk1,WEAPON,10
R-Wpn-Railgun-Shotgun,Cannon-Shotgun,WEAPON,10
R-Wpn-Railgun-Shotgun,Cannon-Shotgun-VTOL,WEAPON,10
R-Wpn-Railgun-Shotgun,HvyCyb-Bod-Cannon-Shotgun,BODY,10
R-Wpn-Railgun-Sniper,Cyb-Bod-Cannon-Sniper,BODY,10
R-Wpn-Railgun-Aslt,Cannon-HPVAslt,WEAPON,10
R-Wpn-Railgun-Aslt,Cannon-HPVAslt-VTOL,WEAPON,10
R-Wpn-Railgun-Aslt,HvyCyb-Bod-Cannon-HPVAslt,BODY,10
R-Wpn-Railgun-TwinAslt,Cannon-HPVTwinAslt,WEAPON,10
R-Wpn-Rocket07-Tank-Killer,Rocket-LtA-T,WEAPON,10
R-Wpn-Rocket07-Tank-Killer,Rocket-VTOL-LtA-T,WEAPON,10
R-Wpn-Rocket07-Tank-Killer,CyborgRkt1Ground,BODY,10
R-Wpn-Rocket07-Tank-Killer,HvyCyb-Bod-Rocket-LtA-T,BODY,2
R-Wpn-Missile2A-T,Rocket-HvyA-T,WEAPON,10
R-Wpn-Missile2A-T,Rocket-VTOL-HvyA-T,WEAPON,10
R-Wpn-Missile2A-T,Cyb-Bod-Rocket-HvyA-T,BODY,2
R-Wpn-Missile2A-T,Cyb-Hvybod-TK,BODY,2
R-Wpn-Missile-LtSAM2,Missile-LtSAM,WEAPON,10
R-Wpn-Missile-LtSAM2,Missile-LtSAM-VTOL,WEAPON,10
R-Wpn-Missile-LtSAM2,HvyCyb-Bod-Missile-LtSAM,BODY,10
R-Wpn-Missile-HvSAM2,Missile-HvySAM,WEAPON,10
R-Wpn-Missile-HvSAM2,Missile-HvySAM-VTOL,WEAPON,10
R-Wpn-MdArtMissile,Rocket-TopAttack,WEAPON,10
R-Wpn-MdArtMissile,Rocket-VTOL-TopAttack,WEAPON,10
R-Wpn-MdArtMissile,HvyCyb-Bod-Rocket-TopAttack,BODY,10
R-Wpn-MdArtMissileHvy,Rocket-TopAttackHvy,WEAPON,10
R-Wpn-MdArtMissileHvy,Rocket-VTOL-TopAttackHvy,WEAPON,10
R-Wpn-HvArtMissile,Rocket-IDF,WEAPON,10
R-Wpn-Rocket-Pod2,Rocket-Pod,WEAPON,0
R-Wpn-Rocket-Pod2,Rocket-VTOL-Pod,WEAPON,0
R-Wpn-Rocket-Pod2,HvyCyb-Bod-Rocket-Pod,BODY,0
R-Wpn-Rocket-Pod2Twin,Rocket-PodTwin,WEAPON,0
R-Wpn-Rocket-Pod2Quad,Rocket-PodQuad,WEAPON,0
R-Wpn-Rocket-Pod3,Rocket-Pod2,WEAPON,0
R-Wpn-Rocket-Pod3,Rocket-VTOL-Pod2,WEAPON,0
R-Wpn-Rocket-Pod3,HvyCyb-Bod-Rocket-Pod2,BODY,0
R-Wpn-Rocket-Pod3Twin,Rocket-Pod2Twin,WEAPON,0
R-Wpn-Rocket-Pod3Quad,Rocket-Pod2Quad,WEAPON,0
R-Wpn-Rocket-BB2,Rocket-BB,WEAPON,0
R-Wpn-Rocket-BB2,Rocket-VTOL-BB,WEAPON,0
R-Wpn-Rocket-TopAttack,Rocket-MRL,WEAPON,0
R-Wpn-Rocket-TopAttack,Rocket-VTOL-MRL,WEAPON,0
R-Wpn-Rocket-TopAttack,HvyCyb-Bod-Rocket-MRL,BODY,0
R-Wpn-Rocket-TopAttackHvy,Rocket-MRLHvy,WEAPON,0
R-Wpn-Rocket-TopAttackHvy,Rocket-VTOL-MRLHvy,WEAPON,0
R-Wpn-Rocket-TopAtkPlas,Rocket-TopAtkInc,WEAPON,0
R-Wpn-Rocket-TopAtkPlas,Rocket-VTOL-TopAtkInc,WEAPON,0
R-Wpn-Rocket-TopAtkPlas,HvyCyb-Bod-Rocket-TopAtkInc,BODY,0
R-Wpn-Rocket-TopAtkPlasHvy,Rocket-TopAtkIncHvy,WEAPON,0
R-Wpn-Rocket-TopAtkPlasHvy,Rocket-VTOL-TopAtkIncHvy,WEAPON,0
R-Wpn-Rocket-Cherub,Rocket-Sunburst,WEAPON,0
R-Wpn-Rocket-Cherub,Rocket-VTOL-Sunburst,WEAPON,0
R-Wpn-Rocket-Cherub,Cyb-Bod-Rocket-Sunburst,BODY,10
R-Wpn-Rocket-Cherub,HvyCyb-Bod-Rocket-Sunburst,BODY,10
